County,Homicides
Allegheny,13
Beaver,2
Blair,1
Bradford,1
Bucks,8
Cambria,2
Chester,2
Clearfield,2
Delaware,6
Erie,3
Fayette,1
Franklin,1
Lackawanna,3
Lancaster,6
Lawrence,2
Lehigh,3
Luzerne,2
Lycoming,2
Mifflin,1
Montgomery,3
Northampton,1
Northumberland,2
Philadelphia,7
Pike,1
Somerset,1
Tioga,1
Westmoreland,1
York,5
